"scenario","scenario_label","variable","offset_q","quarter","baseline","scenario_value","deviation","unit"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",2,"2010Q3",0.49116807076098,0.49260825989879,0.293217174230942,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",4,"2011Q1",0.508795245763929,0.508257665769352,-0.105657432739814,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",8,"2012Q1",0.521509090968771,0.519159941703781,-0.450452217549435,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",12,"2013Q1",0.524414934208004,0.522000583371372,-0.460389412875517,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",16,"2014Q1",0.53100454394752,0.528811655547014,-0.412969799505469,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NULCBS",20,"2015Q1",0.533908573602119,0.532137602250038,-0.331699365704619,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",0,"2010Q1",0.904654761847129,0.99871502430887,10.3973655397213,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",1,"2010Q2",0.88231305592619,0.959312543762858,8.72700311068602,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",2,"2010Q3",0.903478945750484,0.96911059006197,7.26432471062939,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",4,"2011Q1",1.00470808796041,1.05652147443037,5.15705876073427,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",8,"2012Q1",1.05551809568279,1.07674223231854,2.01077904041282,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",12,"2013Q1",1.03879895737492,1.04585118207059,0.678882535028058,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",16,"2014Q1",0.896752792953209,0.900353733430759,0.401553304973978,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NUSD",20,"2015Q1",0.786676557077958,0.789975741349321,0.419382558394421,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NV",0,"2010Q1",19.9966407445126,19.7052897759201,-1.45699956465133,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NV",1,"2010Q2",-1544.96632240741,-1542.25342710818,-0.175595756353242,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NV",2,"2010Q3",51.9971088001069,50.9282523666241,-2.05560743308213,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NV",4,"2011Q1",1260.97524401692,1255.99472061008,-0.394973924386799,"pct_deviation"
"rer_10pc","Real exchange rate: +10% appreciation (1 quarter)","NV",8,"2012Q1",2530.90833256732,2517.70962241097,-0.521500916746609,"pct_deviation"
